%pc_wealth_adj,factor
26021.12,1059
154561.8,922
80134.41,164
165036.9,845
81689.17,1282
93779.2,936
334200.5,2619
711864.3,2576
125430.4,4205
499008.5,4205
20522.38,1092
132996.4,997
21404.62,1923
159149.5,2277
151600.4,688
76759.84,342
220049.2,1657
195770.6,99
24983.74,159
134825,195
104689.3,2608
114687.3,1767
1646.927,78
55311.66,1648
208821.1,751
123175.8,617
13021.39,102
11269.73,1368
7673.999,1318
333910.4,1807
354325.5,1602
93384.96,2885
44393.7,39
262928.7,264
69813.95,574
185318,3525
98941.45,32
36010.21,596
204138.8,500
834857.2,15611
90720.93,321
198292.9,3931
170244.3,1069
489002.1,706
23329.63,2264
203864.1,1114
85794.98,179
60554.97,264
172595.7,264
318150.4,2494
46027.59,106
555895.1,1091
13855.65,679
542774.5,475
222949.6,1435
236974.2,1017
93779.2,2536
95398.56,570
144776.2,548
126733.7,927
19505.75,226
33328.66,102
256971,1998
144108.9,581
3349.248,3373
90945.84,2297
15492.28,1421
30463.24,2877
78206.42,2759
97885.31,2328
4026.122,1073
134314.9,2608
29902.95,602
462316,193
104111.8,179
100736.2,511
98164.65,1496
375629.5,1791
46953.04,783
158011.9,2139
51889.12,2567
227821.2,404
0,241
148607.5,115
181642.1,1252
156579.7,1018
333204.6,706
279500.3,1104
61279.09,353
29665.59,181
4721.196,364
89345.58,1625
155518.5,143
171645.3,262
206217.8,1021
311628.4,4346
256831.3,1018
141810.2,723
18535.93,3132
64107.53,396
787773,4519
27662.94,1092
3712.106,980
110787,1657
448567.9,1075
102555.5,252
238084.1,1849
258009.7,871
1364.656,13
24634.02,232
157090.7,1849
64601.94,2549
15471.54,29
75243.74,1159
125893.3,1849
243683.3,349
145357.7,3727
196257.2,1457
433809.5,1657
164693.2,314
131340.9,1021
126405.7,1849
97799.37,2474
351012.1,753
127791.5,1849
174499,110
-1847.366,364
201542.5,684
152088.4,922
48349.65,3178
281804.8,2505
59256.11,591
175001.6,1425
98818.19,943
53552.43,119
49498.01,1155
72059.5,355
154471,1753
533414.3,2191
299740.4,1699
36485.78,218
191194.9,1067
49960.38,1319
332770.8,4519
65898.17,21
19331.34,290
66227.85,9295
155865.4,220
177701.1,726
155518.5,570
43212.25,3610
189219.2,3291
274444.4,206
88654.22,838
66225.72,164
26046.27,130
183932.6,387
306838.9,2315
275432.2,351
125946.2,244
195432.8,3373
250142,480
21749.57,718
102879.9,139
501323.7,2962
178661.7,5658
114538.7,1449
75981.87,542
137822.3,5615
15902.14,3284
77951.2,318
20266.17,484
26256.79,312
8281.102,862
870533.3,5866
104130.1,6234
621295.3,781
596667.6,2582
86191.87,1380
92251.34,900
155823.6,819
109017.9,466
261089.3,5451
72185.1,591
303099.7,393
153930.2,1219
475611.5,726
125448.9,68
223839.8,444
61775.93,4092
338279,3180
73902.06,1279
47709.84,2877
